wavelength,transmission_loss,composite_transmission
356.49153278332614,0.029902280130293158,0.6342087903905383
361.9626574033869,0.016091205211726384,0.7840118713368941
365.0890143291359,0.011368078175895767,0.842402095593107
379.67867998263137,0.005276872964169382,0.9237048613591567
379.67867998263137,0.005276872964169382,0.9237048613591567
408.076422058185,0.007654723127035832,0.8911321345124876
452.62700825010853,0.005602605863192181,0.919178088866506
502.3881893182805,0.007296416938110749,0.8959707696159631
531.5675206252714,0.006710097719869707,0.9039414624156815
579.2444637429439,0.005244299674267101,0.9241586811699385
633.1741207121147,0.006938110749185666,0.9008339169770465
701.6934433347807,0.008957654723127036,0.8737419175359515
751.1940946591401,0.007524429967426707,0.8928888093112568
846.287451150673,0.004234527687296416,0.9383307498428011
907.2514112027789,0.006775244299674268,0.90305257288848
946.8519322622665,0.010846905537459282,0.849088012804153
998.9578810247503,0.018566775244299675,0.7549380985543329
