wavelength,transmission
0.365,0.2266817456144551
0.366462,0.25921702373767497
0.367925,0.2940508833828293
0.369387,0.33084982756320236
0.37085,0.3691956325417199
0.372312,0.4085978136429346
0.373775,0.4485123555735209
0.375238,0.48836254174148497
0.3767,0.5275636091332971
0.378163,0.5655472996863561
0.379625,0.6017842482576943
0.381087,0.6358037579408382
0.38255,0.6672102698918336
0.384012,0.6956927136864478
0.385475,0.7210300536625042
0.386937,0.743093192512995
0.3884,0.7618387904531103
0.389863,0.7773034706083192
0.391325,0.789592608674028
0.392788,0.798869511220159
0.39425,0.8053423874712892
0.395712,0.8092526496404354
0.397175,0.8108641752113952
0.398637,0.8104510392382966
0.4001,0.8082904753488012
0.401562,0.80465457940165
0.403025,0.7998057643838116
0.404487,0.7939905204606387
0.40595,0.7874384685804848
0.407413,0.7803585428012779
0.408875,0.7729404090539188
0.410338,0.7653508650235503
0.4118,0.7577384975950371
0.413262,0.7502308810102561
0.414725,0.7429386516311006
0.416187,0.7359543894018391
0.41765,0.7293565464360491
0.419112,0.7232087184713295
0.420575,0.7175623054923476
0.422038,0.7124580800174657
0.4235,0.7079271251889339
0.424963,0.7039917887943827
0.426425,0.7006671058722793
0.427887,0.6979624298494943
0.42935,0.6959039707304153
0.430812,0.6945601441196536
0.432275,0.6938634354133888
0.433737,0.6938067000028171
0.4352,0.6943806320159225
0.436663,0.6955715151014837
0.438125,0.6973639042205344
0.439588,0.699739213606873
0.44105,0.7026766396814594
0.442512,0.7061544522808595
0.443975,0.7101472627320882
0.445437,0.7146296429742293
0.4469,0.719573133073163
0.448362,0.724948788077577
0.449825,0.7307257106443856
0.451288,0.7368715435916628
0.45275,0.7433529390425373
0.454213,0.7501354787895096
0.455675,0.7571831257894936
0.457137,0.7644595582723732
0.4586,0.7719273001457397
0.460062,0.7795478207356309
0.461525,0.7872825443936996
0.462987,0.7950926433979894
0.46445,0.802939200967614
0.465913,0.8107826467574484
0.467375,0.8185844525751929
0.468838,0.8263059666632021
0.4703,0.8339099888062715
0.471762,0.8413600448620363
0.473225,0.8486203962688794
0.474687,0.855657917877504
0.47615,0.8624397877377789
0.477612,0.8689367253360228
0.479075,0.8751207458703909
0.480538,0.8809654235027253
0.482,0.8864489136094094
0.483463,0.8915505906845124
0.484925,0.8962530302519326
0.486387,0.9005413945851208
0.48785,0.9044046901775916
0.489312,0.9078344621134549
0.490775,0.9108245832999299
0.492237,0.9133728976122591
0.4937,0.915479888758233
0.495163,0.9171487495303411
0.496625,0.9183851982432576
0.498088,0.9191977010655371
0.49955,0.9195972689883088
0.501012,0.9195965651523663
0.502475,0.9192106813669885
0.503937,0.9184564373359242
0.5054,0.9173518365067974
0.506862,0.9159166742144088
0.508325,0.9141718881547105
0.509788,0.9121385050652673
0.51125,0.9098391333989481
0.512713,0.9072964419783388
0.514175,0.9045335592361874
0.515637,0.901573307641157
0.5171,0.8984387085547166
0.518563,0.8951527648427285
0.520025,0.8917369858267141
0.521487,0.8882142670765095
0.52295,0.8846049009239335
0.524412,0.8809296296613264
0.525875,0.8772085708752154
0.527338,0.8734598794101325
0.5288,0.8697016225256478
0.530262,0.8659509121942492
0.531725,0.8622238169172364
0.533188,0.8585346971704205
0.53465,0.8548979603802264
0.536112,0.8513263411196295
0.537575,0.8478543755860143
0.539038,0.8445058365646793
0.5405,0.8412542964342458
0.541963,0.8381071466754241
0.543425,0.8350716159481539
0.544887,0.8321543645572493
0.54635,0.8293602231603693
0.547813,0.8266943438482274
0.549275,0.8241608546285907
0.550737,0.8217632935089078
0.5522,0.8195044540144155
0.553662,0.8173870738714
0.555125,0.8154125846016727
0.556588,0.8135828001193315
0.55805,0.811897995270205
0.559512,0.8103597455793135
0.560975,0.8089669521250347
0.562438,0.8077199872331521
0.5639,0.8066173070508519
0.565362,0.8056589147169986
0.566825,0.8048430724831933
0.568288,0.804167781921358
0.56975,0.803631350519042
0.571213,0.8032315874065169
0.572675,0.8029662703218624
0.574137,0.8028321808162019
0.5756,0.8028270557888227
0.577063,0.802947370875527
0.578525,0.8031903059766964
0.579987,0.8035521092290823
0.58145,0.8040296338482658
0.582912,0.8046192849763999
0.584375,0.8053168350693481
0.585838,0.806119156967786
0.5873,0.8070214099710515
0.588762,0.8080205058132259
0.590225,0.8091114734688588
0.591688,0.8102907430429048
0.59315,0.8115538458639304
0.594612,0.8128963950289239
0.596075,0.814314489588794
0.597538,0.8158031472673855
