# Transmission spectrum extracted from transmission.png
# Columns: pixel_x, pixel_y, x_normalized, y_normalized
# Note: x_normalized and y_normalized are in range [0, 1]
# The actual wavelength/frequency and transmission values depend on the original plot axes
# Modify the ranges in the script if you know the actual axis values
#
# pixel_x    pixel_y    x_normalized    y_normalized(transmission)
   160.0     320.5  0.146252  0.165365
   161.0     320.5  0.147166  0.165365
   162.0     232.3  0.148080  0.395089
   163.0     232.3  0.148995  0.395089
   164.0     232.0  0.149909  0.395833
   165.0     319.5  0.150823  0.167969
   166.0     319.5  0.151737  0.167969
   167.0     319.0  0.152651  0.169271
   168.0     231.7  0.153565  0.396577
   169.0     231.4  0.154479  0.397321
   170.0     231.4  0.155393  0.397321
   171.0     317.5  0.156307  0.173177
   172.0     317.5  0.157221  0.173177
   173.0     316.5  0.158135  0.175781
   174.0     291.5  0.159049  0.240777
   175.0     266.6  0.159963  0.305773
   176.0     241.6  0.160878  0.370768
   177.0     315.5  0.161792  0.178385
   178.0     314.5  0.162706  0.180990
   179.0     314.5  0.163620  0.180990
   180.0     230.6  0.164534  0.399554
   181.0     230.6  0.165448  0.399554
   182.0     230.3  0.166362  0.400298
   183.0     313.5  0.167276  0.183594
   184.0     313.5  0.168190  0.183594
   185.0     313.5  0.169104  0.183594
   186.0     230.3  0.170018  0.400298
   187.0     230.0  0.170932  0.401042
   188.0     230.0  0.171846  0.401042
   189.0     312.5  0.172761  0.186198
   190.0     312.5  0.173675  0.186198
   191.0     311.5  0.174589  0.188802
   192.0     229.7  0.175503  0.401786
   193.0     229.7  0.176417  0.401786
   194.0     229.7  0.177331  0.401786
   195.0     311.5  0.178245  0.188802
   196.0     310.5  0.179159  0.191406
   197.0     310.5  0.180073  0.191406
   198.0     229.4  0.180987  0.402530
   199.0     229.4  0.181901  0.402530
   200.0     229.4  0.182815  0.402530
   201.0     309.5  0.183729  0.194010
   202.0     309.5  0.184644  0.194010
   203.0     309.5  0.185558  0.194010
   204.0     269.3  0.186472  0.298642
   205.0     229.1  0.187386  0.403274
   206.0     229.1  0.188300  0.403274
   207.0     309.5  0.189214  0.194010
   208.0     309.5  0.190128  0.194010
   209.0     309.5  0.191042  0.194010
   210.0     229.1  0.191956  0.403274
   211.0     229.1  0.192870  0.403274
   212.0     229.1  0.193784  0.403274
   213.0     309.5  0.194698  0.194010
   214.0     309.5  0.195612  0.194010
   215.0     309.5  0.196527  0.194010
   216.0     229.1  0.197441  0.403274
   217.0     229.1  0.198355  0.403274
   218.0     229.1  0.199269  0.403274
   219.0     309.5  0.200183  0.194010
   220.0     309.5  0.201097  0.194010
   221.0     309.5  0.202011  0.194010
   222.0     229.1  0.202925  0.403274
   223.0     229.1  0.203839  0.403274
   224.0     229.1  0.204753  0.403274
   225.0     309.5  0.205667  0.194010
   226.0     309.5  0.206581  0.194010
   227.0     310.0  0.207495  0.192708
   228.0     229.4  0.208410  0.402530
   229.0     229.4  0.209324  0.402530
   230.0     229.4  0.210238  0.402530
   231.0     310.5  0.211152  0.191406
   232.0     310.5  0.212066  0.191406
   233.0     310.5  0.212980  0.191406
   234.0     239.8  0.213894  0.375651
