wavelength,transmission_loss,composite_transmission
356.49153278332614,0.029902280130293158,0.6537576343089627
366.49153278332614,0.009800200051910493,0.8712036365272319
376.49153278332614,0.005302623542270138,0.9282685030358805
386.49153278332614,0.005666566732823919,0.9235248632568462
396.49153278332614,0.006671490597689391,0.910543301904551
406.49153278332614,0.007568499565513632,0.8990991117189234
416.49153278332614,0.00776300460705699,0.8966352703138902
426.49153278332614,0.0073236839170101615,0.9022091857769792
436.49153278332614,0.006583558503689137,0.9116724036099514
446.49153278332614,0.005876333223388069,0.9208010002297116
456.49153278332614,0.005530663123398331,0.9252935928685301
466.49153278332614,0.0056622169084033684,0.9235814257653426
476.49153278332614,0.006099933567140648,0.9179057170760744
486.49153278332614,0.006652543712159911,0.9107864816592637
496.49153278332614,0.007128777956010898,0.9046923593935907
506.49153278332614,0.007340956001588523,0.9019894386229513
516.4915327833262,0.007232767184558057,0.9033667097653485
526.4915327833262,0.006913980566630387,0.9074363071673781
536.4915327833262,0.006503544547646166,0.9127009612335918
546.4915327833262,0.0060853214927657955,0.918094662669246
556.4915327833262,0.005707385273874539,0.9229942401194937
566.4915327833262,0.0054161976437033955,0.9267857538442851
576.4915327833262,0.005258220354983363,0.928848800726017
586.4915327833262,0.005274609150897483,0.9286345791350246
596.4915327833262,0.005456223939495172,0.9262637210327586
606.4915327833262,0.00576617384429915,0.9222305119454536
616.4915327833262,0.006167277140357312,0.9170353783965477
626.4915327833262,0.006622352102717556,0.9111741099744475
636.4915327833262,0.007094326418682084,0.9051319441216429
646.4915327833262,0.007552768398063318,0.8992986566795844
656.4915327833262,0.0079775831894984,0.8939244268926123
666.4915327833262,0.008349570279760167,0.889243013555443
676.4915327833262,0.008649529155621463,0.8854846575435769
686.4915327833262,0.00885825930385512,0.8828780672941521
696.4915327833262,0.008956560211233987,0.8816529700304598
706.4915327833262,0.008925987705980723,0.8820338175516966
716.4915327833262,0.008767260846679177,0.8840135648956102
726.4915327833262,0.008501298475230824,0.8873400769811298
736.4915327833262,0.008149983265938132,0.8917519543906668
746.4915327833262,0.007735197893103557,0.8969871200418464
756.4915327833262,0.007278708975269432,0.902781620712494
766.4915327833262,0.006799952718734907,0.9088961039660953
776.4915327833262,0.00631620894567895,0.9151133256354624
786.4915327833262,0.005844676293881853,0.9212115937481142
796.4915327833262,0.005402553401123902,0.9269637678454121
806.4915327833262,0.00500703890518539,0.9321377957091226
816.4915327833262,0.004675331443846605,0.9364977778927361
826.4915327833262,0.004424629654887838,0.93980557315016
836.4915327833262,0.004272132176089375,0.9418229499478822
846.4915327833262,0.004235037618578786,0.9423142785020162
856.4915327833262,0.004327213109492435,0.9410938252921444
866.4915327833262,0.004549990866221743,0.9381501856763094
876.4915327833262,0.004901755528015189,0.9335196004477067
886.4915327833262,0.005380891734121255,0.9272464489713387
896.4915327833262,0.005985784123788425,0.919382720249915
906.4915327833262,0.00671481733626518,0.9099874378217243
916.4915327833262,0.007565881703868742,0.8991323156267965
926.4915327833262,0.00853438219570043,0.8869256518011814
936.4915327833262,0.009614944357460718,0.8734883127304222
946.4915327833262,0.010802193459936642,0.8589423686718457
956.4915327833262,0.012090754773915243,0.8434099036839929
966.4915327833262,0.013475253570183558,0.8270119265659324
976.4915327833262,0.014950315119528622,0.8098673856750745
986.4915327833262,0.01651056469273747,0.7920922916978343
996.4915327833262,0.01815062756059714,0.7737989503031186
