wavelength,transmission
360,0.03702371870811481
361,0.04302696396167409
362,0.04974587799024356
363,0.057184298732565225
364,0.06533959380724648
365,0.07420330799108923
366,0.08376181908414493
367,0.09399700386217677
368,0.10488691227198116
369,0.11639864532987623
370,0.12847162101697238
371,0.14104953807464207
372,0.1540736715015813
373,0.16745810921282503
374,0.18112175876630057
375,0.19498922174845001
376,0.2089828239374205
377,0.22301170599457604
378,0.2369855081535479
379,0.2508283174114692
380,0.2644547827255254
381,0.27777978056720687
382,0.29072951431022465
383,0.30325243970162014
384,0.31529770289231757
385,0.3268139298097739
386,0.3377798429010491
387,0.3481766657374082
388,0.3579765619888364
389,0.3671622616681112
390,0.37572349339317207
391,0.3836532765229485
392,0.3909476529575832
393,0.3976141362074344
394,0.40366721135315753
395,0.40912147893215145
396,0.4139975695925601
397,0.4183207773764922
398,0.4221221559083311
399,0.425438506001851
400,0.4283079149424515
401,0.4307690889906732
402,0.43286390455400486
403,0.43463283125748503
404,0.43611410263067196
405,0.43734945156195904
406,0.43837860505270326
407,0.43923766589031765
408,0.4399574599586528
409,0.4405665672053687
410,0.44109249635080994
411,0.44155623720863646
412,0.4419794354568087
413,0.44238451252089306
414,0.44279219343357434
415,0.4432172288911586
416,0.44367388448088296
417,0.44418018581918217
418,0.44474725285384015
419,0.44538733471409014
420,0.4461162046095242
421,0.446944592327083
422,0.44788100824217797
423,0.44893387871937757
424,0.4501128984403106
425,0.45142480578214683
426,0.45287349540760047
427,0.454464749324026
428,0.4562034465790136
429,0.4580994537304371
430,0.46017780365565675
431,0.46243463465963947
432,0.4648534302985076
433,0.4674386122284379
434,0.4701920289628
435,0.47311246492663495
436,0.4761989391167165
437,0.47945065618143823
438,0.4828654058671856
439,0.48643902021016455
440,0.49016845545408194
441,0.4940502361625778
442,0.49807929400632156
443,0.5022485529314884
444,0.5065527928573037
445,0.5109877657040839
446,0.515543620426918
447,0.5202133926505786
448,0.5249925181040439
449,0.5298713866686448
450,0.5348421040439858
451,0.539898833515856
452,0.5450354785094103
453,0.5502412763571559
454,0.5555056337726848
455,0.5608230025091464
456,0.5661838472867649
457,0.5715760503508178
458,0.5769891989333262
459,0.5824197645337852
460,0.587860941903065
461,0.5933007382166763
462,0.598735812033898
463,0.6041594242783822
464,0.6095596747652114
465,0.6149302644454887
466,0.6202665896240553
467,0.6255622379451542
468,0.6308042783474285
469,0.6359850404330609
470,0.6410996899580178
471,0.6461378342671773
472,0.6510883633544958
473,0.6559432355385711
474,0.6606994137133243
475,0.665346466901553
476,0.6698752504368742
477,0.6742839726232005
478,0.6785640090947239
479,0.6827071775896573
480,0.6867100340353818
481,0.6905699687698849
482,0.6942817071071137
483,0.6978384347285939
484,0.7012395433035217
485,0.7044830957045632
486,0.7075649135327797
487,0.7104823797415346
488,0.7132359638464988
489,0.7158267653490217
